mat a ts essential from brenda andrews lab (most strains in pmid 21441928)												
Synced to SGD on Sat Jul  8 00:51:42 2017
Plate #	Row	Column	ORF	Gene	Alias	Description	GO Biological Process	GO Molecular Function	GO Cellular Component	mutation	ts phenotype	
1	A	1	YOR202W	HIS3-BLANK	-	-	-	-	-	HIS3-BLANK		-	-	
1	A	2	YOR202W	HIS3-BLANK	-	-	-	-	-	HIS3-BLANK		-	-	
1	A	3	YOR202W	HIS3-BLANK	-	-	-	-	-	HIS3-BLANK		-	-	
1	A	4	YOR202W	HIS3-BLANK	-	-	-	-	-	HIS3-BLANK		-	-	
1	A	5	YOR202W	HIS3-BLANK	-	-	-	-	-	HIS3-BLANK		-	-	
1	A	6	YOR202W	HIS3-BLANK	-	-	-	-	-	HIS3-BLANK		-	-	
1	A	7	YOR202W	HIS3-BLANK	-	-	-	-	-	HIS3-BLANK		-	-	
1	A	8	YOR202W	HIS3-BLANK	-	-	-	-	-	HIS3-BLANK		-	-	
1	A	9	YOR202W	HIS3-BLANK	-	-	-	-	-	HIS3-BLANK		-	-	
1	A	10	YOR202W	HIS3-BLANK	-	-	-	-	-	HIS3-BLANK		-	-	
1	A	11	YOR202W	HIS3-BLANK	-	-	-	-	-	HIS3-BLANK		-	-	
1	A	12	YOR202W	HIS3-BLANK	-	-	-	-	-	HIS3-BLANK		-	-	
1	A	13	YOR202W	HIS3-BLANK	-	-	-	-	-	HIS3-BLANK		-	-	
1	A	14	YOR202W	HIS3-BLANK	-	-	-	-	-	HIS3-BLANK		-	-	
1	A	15	YOR202W	HIS3-BLANK	-	-	-	-	-	HIS3-BLANK		-	-	
1	A	16	YOR202W	HIS3-BLANK	-	-	-	-	-	HIS3-BLANK		-	-	
1	A	17	YOR202W	HIS3-BLANK	-	-	-	-	-	HIS3-BLANK		-	-	
1	A	18	YOR202W	HIS3-BLANK	-	-	-	-	-	HIS3-BLANK		-	-	
1	A	19	YOR202W	HIS3-BLANK	-	-	-	-	-	HIS3-BLANK		-	-	
1	A	20	YOR202W	HIS3-BLANK	-	-	-	-	-	HIS3-BLANK		-	-	
1	A	21	YOR202W	HIS3-BLANK	-	-	-	-	-	HIS3-BLANK		-	-	
1	A	22	YOR202W	HIS3-BLANK	-	-	-	-	-	HIS3-BLANK		-	-	
1	A	23	YOR202W	HIS3-BLANK	-	-	-	-	-	HIS3-BLANK		-	-	
1	A	24	YOR202W	HIS3-BLANK	-	-	-	-	-	HIS3-BLANK		-	-	
1	B	1	YOR202W	HIS3-BLANK	-	-	-	-	-	HIS3-BLANK		-	-	
1	B	2	YER012W	PRE1	proteasome core particle subunit beta 4	Beta 4 subunit of the 20S proteasome; localizes to the nucleus throughout the cell cycle	proteolysis involved in cellular protein catabolic process	enzyme regulator activity	nucleus, membrane, endomembrane system, endoplasmic reticulum, cytoplasm	pre1-1	38.5oC slow	-	-	
1	B	3	YKR002W	PAP1	polynucleotide adenylyltransferase PAP1	Poly(A) polymerase; one of three factors required for mRNA 3'-end polyadenylation, forms multiprotein complex with polyadenylation factor I (PF I), also required for mRNA nuclear export; may also polyadenylate rRNAs; required for gene looping	snoRNA processing, mRNA processing	transferase activity, nucleotidyltransferase activity	nucleus	pap1-1	26oC - 30oC	-	-	
